Date,UNIX Date,Open,High,Low,Close,,,,
01-01-1990,631132200,,,,783.35,,,,"(A2-DATE(1970,1,1))*86400-19800"
02-01-1990,631218600,,,,780.01,,,,
03-01-1990,631305000,,,,763.22,,,,
04-01-1990,631391400,,,,760.80,,,,
05-01-1990,631477800,,,,774.58,,,,
08-01-1990,631737000,,,,778.33,,,,
09-01-1990,631823400,,,,774.50,,,,
10-01-1990,631909800,,,,782.48,,,,
11-01-1990,631996200,,,,780.34,,,,
15-01-1990,632341800,,,,763.55,,,,
16-01-1990,632428200,,,,755.58,,,,
17-01-1990,632514600,,,,745.19,,,,
18-01-1990,632601000,,,,738.58,,,,
19-01-1990,632687400,,,,710.75,,,,
22-01-1990,632946600,,,,706.85,,,,
23-01-1990,633033000,,,,722.01,,,,
24-01-1990,633119400,,,,718.95,,,,
25-01-1990,633205800,,,,716.23,,,,
30-01-1990,633637800,,,,701.08,,,,
31-01-1990,633724200,,,,683.32,,,,
01-02-1990,633810600,,,,692.41,,,,
02-02-1990,633897000,,,,684.48,,,,
06-02-1990,634242600,,,,674.26,,,,
07-02-1990,634329000,,,,674.47,,,,
08-02-1990,634415400,,,,659.3,,,,
12-02-1990,634761000,,,,673.27,,,,
13-02-1990,634847400,,,,673.26,,,,
14-02-1990,634933800,,,,679.29,,,,
15-02-1990,635020200,,,,690.07,,,,
16-02-1990,635106600,,,,689.98,,,,
19-02-1990,635365800,,,,679.53,,,,
20-02-1990,635452200,,,,674.47,,,,
21-02-1990,635538600,,,,678.57,,,,
22-02-1990,635625000,,,,678.97,,,,
26-02-1990,635970600,,,,680.58,,,,
28-02-1990,636143400,,,,676.23,,,,
01-03-1990,636229800,,,,692.58,,,,
02-03-1990,636316200,,,,691.61,,,,
05-03-1990,636575400,,,,685.88,,,,
06-03-1990,636661800,,,,678.7,,,,
07-03-1990,636748200,,,,678.38,,,,
08-03-1990,636834600,,,,670.38,,,,
09-03-1990,636921000,,,,673.94,,,,
13-03-1990,637266600,,,,688.08,,,,
14-03-1990,637353000,,,,683.47,,,,
15-03-1990,637439400,,,,678.91,,,,
16-03-1990,637525800,,,,686.29,,,,
19-03-1990,637785000,,,,711.04,,,,
20-03-1990,637871400,,,,726.31,,,,
21-03-1990,637957800,,,,721.69,,,,
22-03-1990,638044200,,,,738.22,,,,
23-03-1990,638130600,,,,757.76,,,,
26-03-1990,638389800,,,,761.33,,,,
28-03-1990,638562600,,,,770.3,,,,
29-03-1990,638649000,,,,767.74,,,,
30-03-1990,638735400,,,,781.05,,,,
02-04-1990,638994600,,,,782.97,,,,
04-04-1990,639167400,,,,805.86,,,,
05-04-1990,639253800,,,,794.44,,,,
06-04-1990,639340200,,,,770.74,,,,
09-04-1990,639599400,,,,769.97,,,,
10-04-1990,639685800,,,,781.17,,,,
12-04-1990,639858600,,,,748.79,,,,
17-04-1990,640290600,,,,755.58,,,,
18-04-1990,640377000,,,,773.76,,,,
19-04-1990,640463400,,,,759.15,,,,
20-04-1990,640549800,,,,787.36,,,,
23-04-1990,640809000,,,,792.57,,,,
24-04-1990,640895400,,,,791.79,,,,
25-04-1990,640981800,,,,793.58,,,,
30-04-1990,641413800,,,,795.13,,,,
02-05-1990,641586600,,,,786.21,,,,
03-05-1990,641673000,,,,779.22,,,,
04-05-1990,641759400,,,,776.11,,,,
07-05-1990,642018600,,,,779.38,,,,
08-05-1990,642105000,,,,785.19,,,,
10-05-1990,642277800,,,,779.5,,,,
11-05-1990,642364200,,,,780.73,,,,
14-05-1990,642623400,,,,774.75,,,,
15-05-1990,642709800,,,,786.9,,,,
17-05-1990,642882600,,,,770.36,,,,
18-05-1990,642969000,,,,767.02,,,,
21-05-1990,643228200,,,,780.3,,,,
22-05-1990,643314600,,,,777.96,,,,
23-05-1990,643401000,,,,788.14,,,,
24-05-1990,643487400,,,,786.08,,,,
25-05-1990,643573800,,,,787.1,,,,
28-05-1990,643833000,,,,810.15,,,,
29-05-1990,643919400,,,,811.59,,,,
30-05-1990,644005800,,,,803.89,,,,
31-05-1990,644092200,,,,800.8,,,,
01-06-1990,644178600,,,,799.5,,,,
04-06-1990,644437800,,,,797.61,,,,
05-06-1990,644524200,,,,795.11,,,,
06-06-1990,644610600,,,,794.18,,,,
07-06-1990,644697000,,,,790.03,,,,
11-06-1990,645042600,,,,794.7,,,,
12-06-1990,645129000,,,,787.36,,,,
13-06-1990,645215400,,,,781.66,,,,
14-06-1990,645301800,,,,783.21,,,,
15-06-1990,645388200,,,,785.75,,,,
18-06-1990,645647400,,,,791.32,,,,
19-06-1990,645733800,,,,790.76,,,,
20-06-1990,645820200,,,,790.31,,,,
21-06-1990,645906600,,,,800.3,,,,
22-06-1990,645993000,,,,814.72,,,,
25-06-1990,646252200,,,,817.54,,,,
26-06-1990,646338600,,,,820.35,,,,
27-06-1990,646425000,,,,829.47,,,,
28-06-1990,646511400,,,,834.49,,,,
29-06-1990,646597800,,,,850.5,,,,
